#1 AntPos X;#2 AntPos Y;#3 Distance form nest;#4 Total Distance;#5 Total Y Distance
-25.2877;13.3115;28.5774;0.2;0.169515
-25.3939;13.481;28.7504;0.4;0.339031
-25.5;13.6506;28.9238;0.6;0.508546
-25.6061;13.8201;29.0976;0.8;0.678061
-25.7123;13.9896;29.2716;1;0.847577
-25.8184;14.1591;29.446;1.2;1.01709
-25.9245;14.3286;29.6208;1.4;1.18661
-26.0307;14.4981;29.7958;1.6;1.35612
-26.1368;14.6676;29.9712;1.8;1.52564
-26.2429;14.8372;30.1469;2;1.69515
-26.3491;15.0067;30.3228;2.2;1.86467
-26.4552;15.1762;30.4991;2.4;2.03418
-26.5613;15.3457;30.6756;2.6;2.2037
-26.6675;15.5152;30.8525;2.8;2.37321
-26.7736;15.6847;31.0296;3;2.54273
-26.8797;15.8542;31.207;3.2;2.71225
-26.9859;16.0238;31.3847;3.4;2.88176
-27.092;16.1933;31.5626;3.6;3.05128
-27.1981;16.3628;31.7408;3.8;3.22079
-27.3043;16.5323;31.9193;4;3.39031
-27.4104;16.7018;32.098;4.2;3.55982
-27.5165;16.8713;32.277;4.4;3.72934
-27.6227;17.0409;32.4562;4.6;3.89885
-27.7288;17.2104;32.6356;4.8;4.06837
-27.835;17.3799;32.8153;5;4.23788
-27.9411;17.5494;32.9952;5.2;4.4074
-28.0472;17.7189;33.1754;5.4;4.57691
-28.1534;17.8884;33.3558;5.6;4.74643
-28.2595;18.0579;33.5364;5.8;4.91594
-28.3656;18.2275;33.7172;6;5.08546
-28.4718;18.397;33.8982;6.2;5.25498
-28.5779;18.5665;34.0795;6.4;5.42449
-28.684;18.736;34.2609;6.6;5.59401
-28.7902;18.9055;34.4426;6.8;5.76352
-28.8963;19.075;34.6245;7;5.93304
-29.0024;19.2446;34.8065;7.2;6.10255
-29.1086;19.4141;34.9888;7.4;6.27207
-29.2147;19.5836;35.1712;7.6;6.44158
-29.3208;19.7531;35.3539;7.8;6.6111
-29.427;19.9226;35.5367;8;6.78061
-29.5331;20.0921;35.7197;8.2;6.95013
-29.6392;20.2616;35.9029;8.4;7.11964
-29.7454;20.4312;36.0863;8.6;7.28916
-29.8515;20.6007;36.2698;8.8;7.45867
-29.9576;20.7702;36.4536;9;7.62819

29.9362;20.9397;36.5328;9.2;7.79771
29.8301;21.1092;36.5436;9.4;7.96722
29.724;21.2787;36.5554;9.6;8.13674
29.6178;21.4483;36.5683;9.8;8.30625
29.5117;21.6178;36.5823;10;8.47577
29.4055;21.7873;36.5974;10.2;8.64528
29.2994;21.9568;36.6136;10.4;8.8148
29.1933;22.1263;36.6309;10.6;8.98431
29.0871;22.2958;36.6492;10.8;9.15383
28.981;22.4653;36.6687;11;9.32334
28.8749;22.6349;36.6892;11.2;9.49286
28.7687;22.8044;36.7108;11.4;9.66237
28.6626;22.9739;36.7334;11.6;9.83189
28.5565;23.1434;36.7572;11.8;10.0014
28.4503;23.3129;36.782;12;10.1709
28.3442;23.4824;36.8079;12.2;10.3404
28.2381;23.652;36.8348;12.4;10.51
28.1319;23.8215;36.8628;12.6;10.6795
28.0258;23.991;36.8919;12.8;10.849
27.9197;24.1605;36.922;13;11.0185
27.8135;24.33;36.9532;13.2;11.188
27.7074;24.4995;36.9855;13.4;11.3575
27.6013;24.669;37.0188;13.6;11.527
27.4951;24.8386;37.0532;13.8;11.6966
27.389;25.0081;37.0886;14;11.8661
