#1 AntPos X;#2 AntPos Y;#3 Distance form nest;#4 Total Distance;#5 Total Y Distance
-22.8246;25.9617;34.5684;0.2;0.0459558
-22.63;26.0076;34.4748;0.4;0.0919117
-22.4353;26.0536;34.3822;0.6;0.137868
-22.2407;26.0995;34.2904;0.8;0.183823
-22.046;26.1455;34.1996;1;0.229779
-21.8514;26.1914;34.1098;1.2;0.275735
-21.6568;26.2374;34.0208;1.4;0.321691
-21.4621;26.2834;33.9328;1.6;0.367647
-21.2675;26.3293;33.8458;1.8;0.413603
-21.0728;26.3753;33.7597;2;0.459558
-20.8782;26.4212;33.6746;2.2;0.505514
-20.6835;26.4672;33.5905;2.4;0.55147
-20.4889;26.5131;33.5073;2.6;0.597426
-20.2942;26.5591;33.4251;2.8;0.643382
-20.0996;26.605;33.344;3;0.689338
-19.9049;26.651;33.2638;3.2;0.735294
-19.7103;26.697;33.1847;3.4;0.781249
-19.5156;26.7429;33.1065;3.6;0.827205
-19.321;26.7889;33.0294;3.8;0.873161
-19.1263;26.8348;32.9534;4;0.919117
-18.9317;26.8808;32.8783;4.2;0.965073
-18.737;26.9267;32.8043;4.4;1.01103
-18.5424;26.9727;32.7314;4.6;1.05698
-18.3477;27.0186;32.6596;4.8;1.10294
-18.1531;27.0646;32.5888;5;1.1489
-17.9584;27.1106;32.519;5.2;1.19485
-17.7638;27.1565;32.4504;5.4;1.24081
-17.5691;27.2025;32.3828;5.6;1.28676
-17.3745;27.2484;32.3164;5.8;1.33272
-17.1798;27.2944;32.251;6;1.37868
-16.9852;27.3403;32.1868;6.2;1.42463
-16.7905;27.3863;32.1237;6.4;1.47059
-16.5959;27.4323;32.0617;6.6;1.51654
-16.4012;27.4782;32.0008;6.8;1.5625
-16.2066;27.5242;31.9411;7;1.60845
-16.0119;27.5701;31.8825;7.2;1.65441
-15.8173;27.6161;31.8251;7.4;1.70037
-15.6226;27.662;31.7688;7.6;1.74632
-15.428;27.708;31.7137;7.8;1.79228
-15.2333;27.7539;31.6597;8;1.83823
-15.0387;27.7999;31.6069;8.2;1.88419
-14.8441;27.8459;31.5553;8.4;1.93015
-14.6494;27.8918;31.5049;8.6;1.9761
-14.4548;27.9378;31.4557;8.8;2.02206
-14.2601;27.9837;31.4076;9;2.06801
-14.0655;28.0297;31.3608;9.2;2.11397
-13.8708;28.0756;31.3152;9.4;2.15992
-13.6762;28.1216;31.2708;9.6;2.20588
-13.4815;28.1675;31.2276;9.8;2.25184
-13.2869;28.2135;31.1856;10;2.29779
-13.0922;28.2595;31.1449;10.2;2.34375
-12.8976;28.3054;31.1054;10.4;2.3897
-12.7029;28.3514;31.0671;10.6;2.43566
-12.5083;28.3973;31.0301;10.8;2.48162
-12.3136;28.4433;30.9943;11;2.52757
-12.119;28.4892;30.9597;11.2;2.57353
