#1 AntPos X;#2 AntPos Y;#3 Distance form nest;#4 Total Distance;#5 Total Y Distance
0.029468;5.33292;5.333;0.2;-0.122355
0.187674;5.21057;5.21395;0.4;-0.24471
0.345881;5.08821;5.09995;0.6;-0.367065
0.504087;4.96586;4.99138;0.8;-0.48942
0.662294;4.8435;4.88857;1;-0.611775
0.8205;4.72115;4.79192;1.2;-0.73413
0.978706;4.59879;4.70178;1.4;-0.856485
1.13691;4.47644;4.61856;1.6;-0.97884
1.29512;4.35408;4.54262;1.8;-1.10119
1.45333;4.23173;4.47433;2;-1.22355
1.61153;4.10937;4.41407;2.2;-1.3459
1.76974;3.98702;4.36214;2.4;-1.46826
1.92794;3.86466;4.31886;2.6;-1.59061
2.08615;3.74231;4.28449;2.8;-1.71297
2.24436;3.61995;4.25925;3;-1.83532
2.40256;3.4976;4.24329;3.2;-1.95768
2.56077;3.37524;4.23672;3.4;-2.08003
2.71898;3.25289;4.23959;3.6;-2.20239
2.87718;3.13053;4.25187;3.8;-2.32474
3.03539;3.00818;4.27349;4;-2.4471
3.1936;2.88582;4.3043;4.2;-2.56945
3.3518;2.76347;4.34411;4.4;-2.69181
3.51001;2.64111;4.39268;4.6;-2.81416
3.66822;2.51876;4.44971;4.8;-2.93652
3.82642;2.3964;4.51489;5;-3.05887
3.98463;2.27405;4.58787;5.2;-3.18123
4.14283;2.15169;4.66828;5.4;-3.30358
4.30104;2.02934;4.75575;5.6;-3.42594
4.45925;1.90698;4.84989;5.8;-3.54829
4.61745;1.78463;4.95033;6;-3.67065
4.77566;1.66227;5.05669;6.2;-3.793
4.93387;1.53992;5.1686;6.4;-3.91536
5.09207;1.41756;5.28571;6.6;-4.03771
5.25028;1.29521;5.40768;6.8;-4.16007
5.40849;1.17285;5.53419;7;-4.28242
5.56669;1.0505;5.66495;7.2;-4.40478
5.7249;0.928143;5.79965;7.4;-4.52713
5.88308;0.805757;5.938;7.6;-4.64952
6.02674;0.664604;6.06328;7.80003;-4.79067
6.12561;0.47986;6.14438;7.99197;-4.97542
6.20878;0.297533;6.21591;8.17108;-5.15774
6.25272;0.0977465;6.25348;8.33223;-5.35753
6.2866;-0.0995814;6.28739;8.48605;-5.55486
6.29842;-0.300478;6.30559;8.62769;-5.75575
6.29789;-0.500856;6.31777;8.76225;-5.95613
6.28568;-0.700824;6.32463;8.89058;-6.1561
6.26449;-0.899902;6.32879;9.01452;-6.35518
6.23637;-1.09804;6.3323;9.13568;-6.55332
6.20298;-1.2953;6.33678;9.25533;-6.75058
6.16563;-1.49183;6.34354;9.3745;-6.9471
6.12532;-1.68775;6.35359;9.494;-7.14302
6.08284;-1.8832;6.36768;9.61441;-7.33847
6.03877;-2.07829;6.38639;9.73616;-7.53356
5.99355;-2.27311;6.41012;9.85953;-7.72839
5.94872;-2.46802;6.44038;9.9857;-7.9233
5.90486;-2.66316;6.47763;10.115;-8.11843
5.85776;-2.85756;6.51759;10.2441;-8.31284
5.81028;-3.05184;6.56301;10.3751;-8.50712
5.76257;-3.24607;6.61394;10.5081;-8.70135
5.71304;-3.43985;6.66868;10.6419;-8.89512
5.58435;-3.61338;6.65143;10.7182;-9.06866
5.40433;-3.72888;6.56593;10.7221;-9.18416
5.29189;-3.92399;6.58801;10.833;-9.37927
5.22687;-4.11735;6.65378;10.9689;-9.57263
5.16931;-4.309;6.72973;11.109;-9.76428
5.12937;-4.50583;6.82737;11.2637;-9.96111
5.09369;-4.70267;6.93259;11.4218;-10.1579
5.061;-4.9;7.04442;11.583;-10.3553
5.03036;-5.09765;7.16175;11.7465;-10.5529
5.00115;-5.29551;7.28381;11.912;-10.7508
4.97422;-5.49371;7.41105;12.0798;-10.949
4.99398;-5.69823;7.57691;12.2737;-11.1535
5.02131;-5.89652;7.74484;12.4654;-11.3518
5.12461;-6.08417;7.95479;12.679;-11.5394
5.19376;-6.27441;8.14514;12.8808;-11.7297
